modality,feature,bin_idx,time_label,cohens_d,abs_cohens_d,p_value,significant,n_invest,n_keep,significant_bonferroni
gaze,gaze_x_std,3,-0.5s to 0.0s,0.08408135387603417,0.08408135387603417,0.6718594021595529,False,125,32,False
gaze,gaze_y_std,0,-2.0s to -1.5s,0.035423801606966274,0.035423801606966274,0.8583257169290501,False,125,32,False
gaze,gaze_y_std,1,-1.5s to -1.0s,0.04569908553898828,0.04569908553898828,0.8178767785943235,False,125,32,False
gaze,gaze_y_std,2,-1.0s to -0.5s,0.15402978142152327,0.15402978142152327,0.43806525519059775,False,125,32,False
gaze,gaze_y_std,3,-0.5s to 0.0s,-0.2638755097819546,0.2638755097819546,0.1848405508116031,False,125,32,False
gaze,gaze_velocity_mean,0,-2.0s to -1.5s,-0.3505402784210368,0.3505402784210368,0.07879903001909737,False,125,32,False
gaze,gaze_velocity_mean,1,-1.5s to -1.0s,0.17550056351709906,0.17550056351709906,0.3770722747900021,False,125,32,False
gaze,gaze_velocity_mean,2,-1.0s to -0.5s,0.18596308883198095,0.18596308883198095,0.34936726555811276,False,125,32,False
gaze,gaze_velocity_mean,3,-0.5s to 0.0s,0.22372263034105733,0.22372263034105733,0.2605370362258148,False,125,32,False
gaze,gaze_velocity_std,0,-2.0s to -1.5s,-0.32269384930600065,0.32269384930600065,0.10538368905713236,False,125,32,False
gaze,gaze_velocity_std,1,-1.5s to -1.0s,0.18347866980065192,0.18347866980065192,0.35582501587634535,False,125,32,False
gaze,gaze_velocity_std,2,-1.0s to -0.5s,0.1994894335071431,0.1994894335071431,0.31553687333640457,False,125,32,False
gaze,gaze_velocity_std,3,-0.5s to 0.0s,0.2588603217146855,0.2588603217146855,0.19328089765666223,False,125,32,False
gaze,gaze_path_length,0,-2.0s to -1.5s,-0.3504916384039282,0.3504916384039282,0.07884014726609652,False,125,32,False
gaze,gaze_path_length,1,-1.5s to -1.0s,0.17552220974016894,0.17552220974016894,0.3770135781377266,False,125,32,False
gaze,gaze_path_length,2,-1.0s to -0.5s,0.18596275837833126,0.18596275837833126,0.34936811947990926,False,125,32,False
gaze,gaze_path_length,3,-0.5s to 0.0s,0.22371718047454012,0.22371718047454012,0.260548601573249,False,125,32,False
gaze,gaze_dispersion,0,-2.0s to -1.5s,-0.3380229678943773,0.3380229678943773,0.08997627931016858,False,125,32,False
gaze,gaze_dispersion,1,-1.5s to -1.0s,0.2253572244516509,0.2253572244516509,0.25708438160681996,False,125,32,False
gaze,gaze_dispersion,2,-1.0s to -0.5s,0.19481785542332192,0.19481785542332192,0.32696676223621596,False,125,32,False
gaze,gaze_dispersion,3,-0.5s to 0.0s,0.21861821049904687,0.21861821049904687,0.27152676437499385,False,125,32,False
eeg,eeg_Fp1,0,-2.0s to -1.5s,-0.08048586681372856,0.08048586681372856,0.0002453850109512766,True,5608,3300,True
eeg,eeg_Fp1,1,-1.5s to -1.0s,-0.1630025816221174,0.1630025816221174,1.1897670597139837e-13,True,5608,3300,True
eeg,eeg_Fp1,2,-1.0s to -0.5s,-0.12569822183877785,0.12569822183877785,1.0413656697732094e-08,True,5608,3300,True
eeg,eeg_Fp1,3,-0.5s to 0.0s,-0.06601360199482839,0.06601360199482839,0.002629494431788433,True,5608,3300,False
eeg,eeg_F7,0,-2.0s to -1.5s,-0.057276230064098765,0.057276230064098765,0.009052705682702243,True,5608,3300,False
eeg,eeg_F7,1,-1.5s to -1.0s,-0.11253689222322233,0.11253689222322233,2.9680495343632004e-07,True,5608,3300,True
eeg,eeg_F7,2,-1.0s to -0.5s,-0.03897714598851091,0.03897714598851091,0.07567410048798644,False,5608,3300,False
eeg,eeg_F7,3,-0.5s to 0.0s,-0.05199407351777988,0.05199407351777988,0.01781547765179794,True,5608,3300,False
eeg,eeg_F8,0,-2.0s to -1.5s,-0.012441835763362821,0.012441835763362821,0.5706643632090421,False,5608,3300,False
eeg,eeg_F8,1,-1.5s to -1.0s,-0.15361811773105882,0.15361811773105882,2.7088946337487885e-12,True,5608,3300,True
eeg,eeg_F8,2,-1.0s to -0.5s,-0.09097567101513335,0.09097567101513335,3.4052262405665114e-05,True,5608,3300,True
eeg,eeg_F8,3,-0.5s to 0.0s,-0.06831753298810564,0.06831753298810564,0.0018522490463568784,True,5608,3300,False
eeg,eeg_T4,0,-2.0s to -1.5s,-0.0026076639543715164,0.0026076639543715164,0.9053918225450869,False,5608,3300,False
eeg,eeg_T4,1,-1.5s to -1.0s,-0.08026202761031546,0.08026202761031546,0.0002553453901622581,True,5608,3300,True
eeg,eeg_T4,2,-1.0s to -0.5s,-0.07402573255426517,0.07402573255426517,0.0007438261062936351,True,5608,3300,False
eeg,eeg_T4,3,-0.5s to 0.0s,-0.1101988174074455,0.1101988174074455,5.190612005932227e-07,True,5608,3300,True
eeg,eeg_T6,0,-2.0s to -1.5s,-0.00888865136854999,0.00888865136854999,0.6853832277959223,False,5608,3300,False
eeg,eeg_T6,1,-1.5s to -1.0s,-0.15866438836737035,0.15866438836737035,5.157660067410411e-13,True,5608,3300,True
eeg,eeg_T6,2,-1.0s to -0.5s,-0.03292919140419788,0.03292919140419788,0.13341671981209965,False,5608,3300,False
eeg,eeg_T6,3,-0.5s to 0.0s,-0.09256957251703983,0.09256957251703983,2.4750485731309306e-05,True,5608,3300,True
eeg,eeg_T5,0,-2.0s to -1.5s,-0.016270628289897254,0.016270628289897254,0.45834361716110594,False,5608,3300,False
eeg,eeg_T5,1,-1.5s to -1.0s,-0.17321903004064973,0.17321903004064973,3.2405343703801823e-15,True,5608,3300,True
eeg,eeg_T5,2,-1.0s to -0.5s,0.010806258918005624,0.010806258918005624,0.6223460016779789,False,5608,3300,False
eeg,eeg_T5,3,-0.5s to 0.0s,-0.036582430884630764,0.036582430884630764,0.09546728176407289,False,5608,3300,False
eeg,eeg_T3,0,-2.0s to -1.5s,-0.031116216263620444,0.031116216263620444,0.15614814883438816,False,5608,3300,False
eeg,eeg_T3,1,-1.5s to -1.0s,-0.11177854030773562,0.11177854030773562,3.5622508375650626e-07,True,5608,3300,True
eeg,eeg_T3,2,-1.0s to -0.5s,-0.012726032417718278,0.012726032417718278,0.5618969591793779,False,5608,3300,False
eeg,eeg_T3,3,-0.5s to 0.0s,-0.04449325448482211,0.04449325448482211,0.04259134235502379,True,5608,3300,False
eeg,eeg_Fp2,0,-2.0s to -1.5s,-0.07854211770423099,0.07854211770423099,0.0003455270052526093,True,5608,3300,True
eeg,eeg_Fp2,1,-1.5s to -1.0s,-0.12629074450260053,0.12629074450260053,8.883176764259495e-09,True,5608,3300,True
