feature,beta_main,beta_int,se_int,p_int,lrt_stat,lrt_p,sig_int,modality
gaze_velocity_max,0.0035403521746264605,-0.011729835151575795,0.022903208937101804,0.6085473565941422,0.2640891308346909,0.6073246824731204,False,Gaze
gaze_y_mean,-0.02653617675366447,-0.003473653179861876,0.02348972528633093,0.8824377208131373,0.021753790342700086,0.8827439605626557,False,Gaze
eye_asymmetry_pre,0.06461160598853663,-0.11040873452579211,0.02665355528132268,3.437438334527141e-05,17.973129225923913,2.2404538403990924e-05,True,Pupil
eye_asymmetry_std_pre,0.057807598421532685,-0.12928632928012157,0.03217312391151986,5.858038640147031e-05,16.864879593502337,4.013742218301255e-05,True,Pupil
pupil_max_dilation_rate_pre,-0.014038449298921615,-0.0914790507342067,0.029502995267734783,0.0019308337863256843,10.894921826384234,0.000964282586099176,True,Pupil
pupil_acceleration_std_pre,0.05862375448386617,-0.07250669709667452,0.024060360205744622,0.0025822468620076895,9.271866750568734,0.002327004142314143,True,Pupil
num_dilation_peaks_pre,-0.03404510669716269,-0.05543373177983581,0.02337377126780964,0.017710236502165452,5.633754175791182,0.017617861060414165,True,Pupil
pupil_max_constriction_rate_pre,0.07932052048520588,-0.03996458416094997,0.023766093756845033,0.09265034237312628,2.847562552527961,0.09151258385217934,False,Pupil
pupil_velocity_mean_pre,0.12506657566121954,-0.03929526954428988,0.024523920480435793,0.10908395246575427,2.57719526843357,0.10841360595246718,False,Pupil
pupil_std_pre,0.2027394870379876,0.03303260323498507,0.024381381993011677,0.17547204671024574,1.8296405406290432,0.17617000893018567,False,Pupil
pupil_mean_pre,0.03629271044194743,0.029117312504813954,0.023282351495909497,0.21107412103806134,1.5609838629206934,0.21152122195977774,False,Pupil
pupil_slope_pre,-0.2356446622220245,-0.028237486752577184,0.02495242787836134,0.25778040095056476,1.2740811112744268,0.2590024601448777,False,Pupil
time_to_peak_pre,-0.06172647163687174,0.024939072272429506,0.022156437509041133,0.26033895416801334,1.2642417107090296,0.26084971715258837,False,Pupil
pct_time_dilating_pre,-0.1714449905196521,0.02016178124912009,0.023092223158103206,0.3826094894197175,0.7630745149544964,0.3823680704391691,False,Pupil
pupil_cv_pre,0.0032987321209404325,-0.017351202156478996,0.02232361697627628,0.43700677328766213,0.7037846470138902,0.40151491267512895,False,Pupil
eeg_Beta_Frontal,-0.04807815775361192,0.07736835154217897,0.0420173042018199,0.06557102229320554,3.5275732428017363,0.06035606717803773,False,EEG
eeg_Alpha_Frontal,-0.15835017990275313,0.047897573930534766,0.035533250494992355,0.1776696769034286,1.780830371418233,0.1820473946648439,False,EEG
eeg_Alpha_Central,-0.13051077988707532,0.04483703626931812,0.03729644046380366,0.22929378107405163,1.4227011067750936,0.23295932534476074,False,EEG
eeg_Alpha_Parietal,-0.16658241025710835,0.039686927713973606,0.03458437002250889,0.2511587532085515,1.2919617646111874,0.25568673697341476,False,EEG
eeg_Theta_Occipital,-0.025252063812993792,-0.02857349780499318,0.03436504787837643,0.40570830956733284,0.7002121481018548,0.40271241859540385,False,EEG
eeg_Alpha_Occipital,-0.15244165749976923,0.02714883335322254,0.03351563555145307,0.4179201372114444,0.6489511174477229,0.42048793218600844,False,EEG
eeg_Beta_Central,-0.036169723143327094,0.03498779889488535,0.044160676365657466,0.4281950780179117,0.633386292058276,0.42611591365224777,False,EEG
eeg_Beta_Occipital,-0.0508132877254762,0.024617491877352137,0.03299210292588907,0.4555688575258342,0.5591316146137615,0.4546103399501469,False,EEG
eeg_Beta_Parietal,-0.06045738975462011,0.024545814506136347,0.03333140536997682,0.4614769445523763,0.5348872075082909,0.4645593918936646,False,EEG
eeg_Theta_Central,-0.0861899669720285,0.024128941206394958,0.033428787344985625,0.4704166676858603,0.5103345555371561,0.4749940654125133,False,EEG
eeg_Delta_Parietal,-0.02331618940743737,0.0347648612645812,0.05530766277963345,0.5296291415010688,0.39367997733916127,0.530371364445174,False,EEG
eeg_Theta_Frontal,-0.08904558233189569,0.008261277542705243,0.036566462600752206,0.8212597643534494,0.05064724365092843,0.821940824786373,False,EEG
eeg_Theta_Parietal,-0.07114262801155043,0.0061221592518020005,0.033433366222388114,0.8547075894329365,0.033804991449869704,0.8541222358344803,False,EEG
eeg_Delta_Frontal,-0.03283053234970256,0.005713070578378611,0.03756751768445569,0.8791279850463672,0.022942761233935016,0.8796060149396444,False,EEG
eeg_Delta_Occipital,-0.03294043308703246,-0.007634555590478423,0.07771740581280424,0.9217458315621824,0.00948897249327274,0.9223997259563441,False,EEG
