Method,Accuracy,F1-Score,analysis_type,time_period,class_weighting,subgroup,file_source,subject_id,accuracy,Modality,Average,Weighted,Stacking,Visit,N_subjects,N_trials,F1_Score,Mean_Subject_Acc,Std_Subject_Acc,f1_score,Weight,feature,mean_abs_shap
,,,modality_weights,PRE,unbalanced,none,late_fusion_model_PRE_modality_weights.csv,,,Behavior,0.3333333333333333,0.9667944889698822,0.7505986759792957,,,,,,,,,,
,,,modality_weights,PRE,unbalanced,none,late_fusion_model_PRE_modality_weights.csv,,,Gaze,0.3333333333333333,0.0022452277989742,0.0661297081167592,,,,,,,,,,
,0.6683552319138831,,late_fusion_by_visit,PRE,unbalanced,none,late_fusion_by_visit_PRE_comparison.csv,,,,,,,1.0,49.0,6317.0,0.6478614321200806,0.6695525682977774,0.1055681201632358,,,,
,0.7045606229143493,,late_fusion_by_visit,PRE,unbalanced,none,late_fusion_by_visit_PRE_comparison.csv,,,,,,,2.0,34.0,4495.0,0.6581237808111948,0.693813749678412,0.1824965961134581,,,,
,0.5601703940362087,,late_fusion_by_visit,PRE,unbalanced,none,late_fusion_by_visit_PRE_comparison.csv,,,,,,,3.0,8.0,939.0,0.539857725771525,0.5824807781437206,0.1501007505264278,,,,
Physiology Only,0.5351060362749711,0.5469691307886191,late_fusion,POST,unbalanced,none,late_fusion_model_POST_method_comparison.csv,,,,,,,,,,,,,,,,
Behavior Only,0.6510698066538603,0.6650555282527746,late_fusion,POST,unbalanced,none,late_fusion_model_POST_method_comparison.csv,,,,,,,,,,,,,,,,
Gaze Only,0.5057282080134659,0.4310137218862347,late_fusion,POST,unbalanced,none,late_fusion_model_POST_method_comparison.csv,,,,,,,,,,,,,,,,
Average Fusion,0.6435533002823287,0.6515230577494884,late_fusion,POST,unbalanced,none,late_fusion_model_POST_method_comparison.csv,,,,,,,,,,,,,,,,
Weighted Fusion,0.6965067898311101,0.6851970737905705,late_fusion,POST,unbalanced,none,late_fusion_model_POST_method_comparison.csv,,,,,,,,,,,,,,,,
Stacking,0.6230557803078824,0.6362147381917871,late_fusion,POST,unbalanced,none,late_fusion_model_POST_method_comparison.csv,,,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0806_1000_539136F,0.6440677966101694,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0806_1000_U9TEJGM,0.7022900763358778,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0811_1000_4LI8GO7,0.6446280991735537,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0811_1000_539136F,0.7538461538461538,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0811_1000_U9TEJGM,0.7633587786259542,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0813_1000_539136F,0.627906976744186,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0813_1000_9M4VCHG,0.6991869918699187,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0813_1000_U9TEJGM,0.65625,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0813_1600_539136F,0.7338709677419355,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0813_1600_9M4VCHG,0.5769230769230769,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0813_1600_U9TEJGM,0.7317073170731707,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0816_1400_539136F,0.813953488372093,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0816_1400_9M4VCHG,0.3951612903225806,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0816_1400_U9TEJGM,0.64,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0817_1000_539136F,0.5267175572519084,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0817_1000_9M4VCHG,0.6717557251908397,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0817_1000_U9TEJGM,0.7478991596638656,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0818_1600_539136F,0.7651515151515151,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0818_1600_9M4VCHG,0.8222222222222222,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0818_1600_U9TEJGM,0.7348484848484849,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0819_1400_539136F,0.5581395348837209,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0819_1400_9M4VCHG,0.5436893203883495,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0819_1400_U9TEJGM,0.7596899224806202,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0823_1400_539136F,0.5190839694656488,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0823_1400_9M4VCHG,0.9696969696969696,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0823_1400_U9TEJGM,0.5772357723577236,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0824_1000_539136F,0.7862595419847328,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0824_1000_9M4VCHG,0.6915887850467289,,,,,,,,,,,,,,
