ambiguity,feature,band,region,cohens_d,abs_d,p_value,invest_mean,keep_mean,n_invest,n_keep
Medium,eeg_Delta_Parietal,Delta,Parietal,-0.0734759553844381,0.0734759553844381,0.041884951818811064,0.08778863723793434,0.0991511175027466,2486,1110
Medium,eeg_Delta_Occipital,Delta,Occipital,-0.07879845805151882,0.07879845805151882,0.02911282763584121,0.0870278943307739,0.09918298272247889,2486,1110
Medium,eeg_Theta_Frontal,Theta,Frontal,-0.1721579870897704,0.1721579870897704,1.924713967417681e-06,0.03401604219169501,0.043791376533199755,2486,1110
Medium,eeg_Theta_Central,Theta,Central,-0.17549907370659457,0.17549907370659457,1.2143985764763555e-06,0.031169823086334945,0.041138504391611826,2486,1110
Medium,eeg_Theta_Parietal,Theta,Parietal,-0.1733648302289638,0.1733648302289638,1.6312772392803563e-06,0.03283771903277092,0.041966829280763736,2486,1110
Medium,eeg_Theta_Occipital,Theta,Occipital,-0.14623515807488374,0.14623515807488374,5.209374158176884e-05,0.03650100613426832,0.045513135413713504,2486,1110
Medium,eeg_Alpha_Frontal,Alpha,Frontal,-0.15867532393096992,0.15867532393096992,1.1369617045417067e-05,0.031459254755290135,0.040772877385975376,2486,1110
Medium,eeg_Alpha_Central,Alpha,Central,-0.16046109168873274,0.16046109168873274,9.054494058989946e-06,0.03192149857116385,0.04327778146125171,2486,1110
Medium,eeg_Alpha_Parietal,Alpha,Parietal,-0.2063539515198023,0.2063539515198023,1.1773489072310545e-08,0.03440902354992152,0.04841112746511056,2486,1110
Medium,eeg_Alpha_Occipital,Alpha,Occipital,-0.1628937425111111,0.1628937425111111,6.615297169074469e-06,0.03585531368439972,0.047539794009746006,2486,1110
Medium,eeg_Beta_Frontal,Beta,Frontal,-0.12017871488372972,0.12017871488372972,0.0008799805479749921,0.04347383903160998,0.05599380187466231,2486,1110
Medium,eeg_Beta_Central,Beta,Central,-0.0813076708222903,0.0813076708222903,0.024360969384065245,0.049390855906070924,0.06422325501577796,2486,1110
Medium,eeg_Beta_Parietal,Beta,Parietal,-0.16683137012010252,0.16683137012010252,3.944167349202833e-06,0.04353351189507651,0.06092534296978396,2486,1110
Medium,eeg_Beta_Occipital,Beta,Occipital,-0.2104355800408555,0.2104355800408555,6.054209385803126e-09,0.03757793366070343,0.05306248431115906,2486,1110
High,eeg_Delta_Frontal,Delta,Frontal,-0.04224903973764323,0.04224903973764323,0.20678556326323222,0.10184109732735318,0.11413398187330952,1710,1870
High,eeg_Delta_Central,Delta,Central,-0.09302839907224095,0.09302839907224095,0.005459137969328008,0.08266422780589378,0.10309486819979832,1710,1870
High,eeg_Delta_Parietal,Delta,Parietal,-0.11582462820115899,0.11582462820115899,0.0005432398703424198,0.08350434300829451,0.10723642008376254,1710,1870
High,eeg_Delta_Occipital,Delta,Occipital,-0.10156499344392604,0.10156499344392604,0.0024191519159107284,0.08534658026412023,0.10866893485611501,1710,1870
High,eeg_Theta_Frontal,Theta,Frontal,-0.07702874353275331,0.07702874353275331,0.02138490050349747,0.03451675232011491,0.040577005647365244,1710,1870
High,eeg_Theta_Central,Theta,Central,-0.08175155168554088,0.08175155168554088,0.014602432304565057,0.030654430154349457,0.03948412060250227,1710,1870
High,eeg_Theta_Parietal,Theta,Parietal,-0.10711414175619774,0.10711414175619774,0.001380145366885665,0.032609014245244636,0.03878797766256169,1710,1870
High,eeg_Theta_Occipital,Theta,Occipital,-0.0713136170005111,0.0713136170005111,0.033130291276370835,0.03766393842485764,0.04217602492667131,1710,1870
High,eeg_Alpha_Frontal,Alpha,Frontal,-0.06912509603366072,0.06912509603366072,0.03890804435768243,0.03252654616337515,0.03701856781080314,1710,1870
High,eeg_Alpha_Central,Alpha,Central,-0.0703198105384806,0.0703198105384806,0.035655965771202905,0.03193431706286575,0.03706996767896224,1710,1870
High,eeg_Alpha_Parietal,Alpha,Parietal,-0.07583865186745564,0.07583865186745564,0.023476340716256035,0.03598472285961067,0.041247124230613094,1710,1870
High,eeg_Alpha_Occipital,Alpha,Occipital,-0.04089846475916135,0.04089846475916135,0.22166775527988386,0.03839664623210842,0.041399755371506405,1710,1870
High,eeg_Beta_Frontal,Beta,Frontal,-0.09554505739737953,0.09554505739737953,0.004321356823697562,0.04202691417384215,0.05261844719983003,1710,1870
High,eeg_Beta_Central,Beta,Central,-0.10015121449210314,0.10015121449210314,0.00277969973831885,0.04390777207739084,0.06106117214029265,1710,1870
High,eeg_Beta_Parietal,Beta,Parietal,-0.11338567357747346,0.11338567357747346,0.0007097936317635748,0.04245441600398915,0.055428435150111546,1710,1870
High,eeg_Beta_Occipital,Beta,Occipital,-0.14840281766300822,0.14840281766300822,9.472513291234476e-06,0.03780546706725826,0.04932402850360846,1710,1870
