trial_id,fz_pz_theta_coh,f3_p3_theta_coh,f4_p4_theta_coh,mean_fp_theta_coh
112_0831_1300_9M4VCHG,0.23613844458434488,0.33822822463788355,0.12212651103103271,0.23216439341775372
113_0831_1300_9M4VCHG,0.2484702003838981,0.44150850304617456,0.07291920965643876,0.25429930436217046
114_0831_1300_9M4VCHG,0.19093058936170837,0.3312694423388429,0.1535202143750471,0.2252400820251995
115_0831_1300_9M4VCHG,0.1494260423073656,0.5267436856880788,0.32227644702653335,0.3328153916739926
116_0831_1300_9M4VCHG,0.29242090040051255,0.22926482781578658,0.2121438080606326,0.2446098454256439
117_0831_1300_9M4VCHG,0.10393142119569145,0.3620789439964452,0.19762893324321062,0.22121309947844905
118_0831_1300_9M4VCHG,0.12879629494409078,0.2697719984178758,0.16618513513078162,0.18825114283091607
119_0831_1300_9M4VCHG,0.23015065608299448,0.4094867239655273,0.061435735606519125,0.2336910385516803
120_0831_1300_9M4VCHG,0.2182744110916021,0.32549278423106115,0.1240454250142438,0.222604206778969
121_0831_1300_9M4VCHG,0.12052419252625673,0.35386139397613164,0.23972466176857696,0.23803674942365513
122_0831_1300_9M4VCHG,0.09411839332626924,0.21370938720952348,0.09244580462736557,0.13342452838771943
123_0831_1300_9M4VCHG,0.27584764824425223,0.34950179566687417,0.06885580740265203,0.23140175043792618
124_0831_1300_9M4VCHG,0.286251271613984,0.6357427365046696,0.39109200828663426,0.43769533880176265
125_0831_1300_9M4VCHG,0.1532691697416713,0.3105725944821072,0.15568827597591128,0.2065100133998966
126_0831_1300_9M4VCHG,0.11700773938013354,0.2558786132606224,0.21980210525423713,0.197562819298331
127_0831_1300_9M4VCHG,0.07232206848566268,0.47687248147637834,0.21034139103400765,0.25317864699868287
128_0831_1300_9M4VCHG,0.3123208052423759,0.5136682179224122,0.45490812836888866,0.4269657171778923
129_0831_1300_9M4VCHG,0.3512290465221582,0.4944083848469028,0.10987976201934423,0.3185057311294684
130_0831_1300_9M4VCHG,0.2373588082173532,0.41971270581869907,0.19586846241495884,0.28431332548367033
131_0831_1300_9M4VCHG,0.055719451408304664,0.4452397467479827,0.3793176674631753,0.29342562187315424
0_0811_1000_U9TEJGM,0.9713666323144343,0.8292324096282405,0.22038007587184663,0.6736597059381738
1_0811_1000_U9TEJGM,0.9858646421018243,0.8954995413553762,0.19786887411067178,0.6930776858559575
2_0811_1000_U9TEJGM,0.9884297293726352,0.8604606475008486,0.18190718732809188,0.6769325214005253
3_0811_1000_U9TEJGM,0.9784761707970366,0.7339113930361775,0.15009788660005166,0.6208284834777552
4_0811_1000_U9TEJGM,0.9805681792986016,0.8279236081958187,0.31624497476033747,0.7082455874182526
5_0811_1000_U9TEJGM,0.9836053121871888,0.9013353780680351,0.26067584383421233,0.7152055113631454
6_0811_1000_U9TEJGM,0.9826172727174037,0.8455846104599352,0.1472359390284845,0.6584792740686077
7_0811_1000_U9TEJGM,0.918124532105088,0.8792290570387301,0.049711912421752956,0.615688500521857
8_0811_1000_U9TEJGM,0.9890731219753844,0.9266252980367847,0.3051455427857157,0.7402813209326283
9_0811_1000_U9TEJGM,0.9767885481702843,0.9545950503882888,0.4495426076609819,0.7936420687398518
10_0811_1000_U9TEJGM,0.9886991226536316,0.891266085921564,0.28156721825868986,0.7205108089446285
11_0811_1000_U9TEJGM,0.9930095175156515,0.8962440871346465,0.26404326230192615,0.7177656223174079
12_0811_1000_U9TEJGM,0.9813617430828061,0.8941592286824651,0.4421362867477521,0.7725524195043412
13_0811_1000_U9TEJGM,0.9866550898367251,0.6842244571756639,0.1811063663874025,0.6173286377999304
14_0811_1000_U9TEJGM,0.9719620061270323,0.9090808496418409,0.11314593207657746,0.6647295959484836
15_0811_1000_U9TEJGM,0.9826805683939578,0.9184215373374783,0.3615151472654902,0.7542057509989754
16_0811_1000_U9TEJGM,0.9838419123142136,0.9408263945059998,0.4568222700160789,0.793830192278764
17_0811_1000_U9TEJGM,0.9930034640110397,0.8572438563806927,0.4382531472732339,0.7628334892216554
18_0811_1000_U9TEJGM,0.9841470267151039,0.9548515208496307,0.752756004615812,0.8972515173935155
19_0811_1000_U9TEJGM,0.9944025881280977,0.8833661760279069,0.421017886742382,0.7662622169661288
20_0811_1000_U9TEJGM,0.9841436535978265,0.8927784415281641,0.15812210507213564,0.6783480667327088
21_0811_1000_U9TEJGM,0.9813468016536292,0.828239781494983,0.5182296601198825,0.7759387477561649
22_0811_1000_U9TEJGM,0.9824037461474378,0.9090396976338209,0.4234372276713158,0.7716268904841915
23_0811_1000_U9TEJGM,0.9710239223783024,0.9577781016110913,0.3742917763463464,0.7676979334452466
24_0811_1000_U9TEJGM,0.9437622523378352,0.9583565560417512,0.31000526033475095,0.7373746895714458
25_0811_1000_U9TEJGM,0.9797517079398572,0.9041642045800584,0.15521596217972072,0.6797106248998789
26_0811_1000_U9TEJGM,0.9891922014121718,0.8577120470575355,0.28833831212981414,0.7117475201998404
27_0811_1000_U9TEJGM,0.9663224198738488,0.8362271043786618,0.43917684873712076,0.7472421243298771
28_0811_1000_U9TEJGM,0.9852540014661045,0.9226501171423798,0.3122509439951457,0.7400516875345433
29_0811_1000_U9TEJGM,0.9937746046394939,0.7777286857303422,0.280352687152209,0.6839519925073483
30_0811_1000_U9TEJGM,0.9567794285523116,0.958877160215458,0.3650620119177068,0.7602395335618254
31_0811_1000_U9TEJGM,0.9616073266475987,0.8905382238803917,0.033282059739907964,0.6284758700892995
32_0811_1000_U9TEJGM,0.9659270164733981,0.9642177353313874,0.3507201307906293,0.7602882941984715
33_0811_1000_U9TEJGM,0.9849242015789686,0.9025782396709987,0.08223942087472247,0.65658062070823
34_0811_1000_U9TEJGM,0.977329251303147,0.9488710944891047,0.43142020110204804,0.7858735156314332
35_0811_1000_U9TEJGM,0.9680092276625545,0.9780184841089626,0.4627297828785832,0.8029191648833668
