feature,bin_idx,time_start,time_end,time_label,invest_mean,keep_mean,difference,t_statistic,p_value,cohens_d,abs_cohens_d,significant,significant_bonferroni
pupil_acceleration_std,2,-1.0,-0.5,-1.0s to -0.5s,0.004862387133104226,0.00499482334435195,-0.0001324362112477247,-1.7554218819007195,0.07921764730581145,-0.03620408253927937,0.03620408253927937,False,False
pupil_acceleration_std,3,-0.5,0.0,-0.5s to 0.0s,0.0044374066442986766,0.004616503615897622,-0.0001790969715989455,-2.7428566373015277,0.006101521917800935,-0.05656908411256263,0.05656908411256263,True,False
pct_time_dilating,0,-2.0,-1.5,-2.0s to -1.5s,0.4798402871048951,0.48062403784420776,-0.0007837507393126386,-0.12348511675868878,0.901725429537178,-0.002546775453581229,0.002546775453581229,False,False
pct_time_dilating,1,-1.5,-1.0,-1.5s to -1.0s,0.44547715024317575,0.48076428203808547,-0.03528713179490972,-5.822671175517998,5.969041784016396e-09,-0.12008763819742496,0.12008763819742496,True,True
pct_time_dilating,2,-1.0,-0.5,-1.0s to -0.5s,0.5908458572492661,0.6129053010808028,-0.022059443831536685,-4.285104483901794,1.843555489737731e-05,-0.08837663357405429,0.08837663357405429,True,True
pct_time_dilating,3,-0.5,0.0,-0.5s to 0.0s,0.5433993981635067,0.5436985331960885,-0.00029913503258183205,-0.05775248618017251,0.9539469341159714,-0.0011910958830316151,0.0011910958830316151,False,False
num_dilation_peaks,0,-2.0,-1.5,-2.0s to -1.5s,0.613722998729352,0.6428571428571429,-0.029134144127790917,-2.230335171279274,0.025747200036667483,-0.045998765005607595,0.045998765005607595,True,False
num_dilation_peaks,1,-1.5,-1.0,-1.5s to -1.0s,0.7849428208386277,0.8174307036247335,-0.032487882786105815,-2.4849971236442037,0.012971399879244476,-0.051250951068738476,0.051250951068738476,True,False
num_dilation_peaks,2,-1.0,-0.5,-1.0s to -0.5s,0.8681702668360864,0.8432835820895522,0.024886684746534216,1.9722806816163294,0.04860495748486632,0.0406766107475822,0.0406766107475822,True,False
num_dilation_peaks,3,-0.5,0.0,-0.5s to 0.0s,0.8138500635324015,0.8224946695095949,-0.00864460597719341,-0.6897654011986635,0.49035766248896223,-0.01422582444437588,0.01422582444437588,False,False
pupil_min,0,-2.0,-1.5,-2.0s to -1.5s,0.4873579034641922,0.3483042717907486,0.13905363167344365,6.3854663725973255,1.7843125836989132e-10,0.13169481022703872,0.13169481022703872,True,True
pupil_min,1,-1.5,-1.0,-1.5s to -1.0s,-0.07501261070754528,-0.09304858895061249,0.018035978243067213,2.4980594614588925,0.012503383990755932,0.05152035067077995,0.05152035067077995,True,False
pupil_min,2,-1.0,-0.5,-1.0s to -0.5s,0.0014232447228848962,0.02361130455644136,-0.022188059833556466,-2.95077087142998,0.003177138783523871,-0.06085713826700165,0.06085713826700165,True,False
pupil_min,3,-0.5,0.0,-0.5s to 0.0s,0.14995761440142508,0.18941199517307594,-0.039454380771650865,-4.769036308459737,1.8771261148673061e-06,-0.0983573156541417,0.0983573156541417,True,True
pupil_max,0,-2.0,-1.5,-2.0s to -1.5s,1.4201897911344044,1.2736290331335585,0.1465607580008459,6.1040123889797275,1.072612171873284e-09,0.12589006131798028,0.12589006131798028,True,True
pupil_max,1,-1.5,-1.0,-1.5s to -1.0s,0.8796703060126418,0.7760065965300623,0.10366370948257952,5.672500711015642,1.4462129177961522e-08,0.11699050015450708,0.11699050015450708,True,True
pupil_max,2,-1.0,-0.5,-1.0s to -0.5s,0.47533557307103635,0.5115658606417357,-0.03623028757069935,-4.130045424055353,3.65628042343025e-05,-0.08517867241211115,0.08517867241211115,True,True
pupil_max,3,-0.5,0.0,-0.5s to 0.0s,0.5867045576924136,0.6374979276431272,-0.050793369950713596,-5.260437468469599,1.466716014877988e-07,-0.10849204642189957,0.10849204642189957,True,True
eye_asymmetry,0,-2.0,-1.5,-2.0s to -1.5s,0.38481919280155136,0.3720294635595848,0.01278972924196653,1.110194601047203,0.266941751208251,0.022896818927342324,0.022896818927342324,False,False
eye_asymmetry,1,-1.5,-1.0,-1.5s to -1.0s,0.251494130352247,0.24834300578770288,0.003151124564544111,0.6854515919456554,0.4930748137294749,0.01413685579936531,0.01413685579936531,False,False
eye_asymmetry,2,-1.0,-0.5,-1.0s to -0.5s,0.22735536451293065,0.23823161112421143,-0.010876246611280782,-2.518314903033966,0.011807193806705857,-0.05193810191691314,0.05193810191691314,True,False
eye_asymmetry,3,-0.5,0.0,-0.5s to 0.0s,0.2812831040359238,0.29214294533004515,-0.01085984129412132,-2.1104686099330405,0.034842662913792524,-0.04352661917820126,0.04352661917820126,True,False
eye_asymmetry_std,0,-2.0,-1.5,-2.0s to -1.5s,0.1933281594690705,0.20025126818923214,-0.006923108720161636,-1.1208525802099907,0.2623774112817237,-0.02311663067817551,0.02311663067817551,False,False
eye_asymmetry_std,1,-1.5,-1.0,-1.5s to -1.0s,0.19256436852402303,0.19285113035044316,-0.00028676182642012327,-0.07932521219809428,0.9367755330274167,-0.00163601499985636,0.00163601499985636,False,False
eye_asymmetry_std,2,-1.0,-0.5,-1.0s to -0.5s,0.1515099489324604,0.1557251883942609,-0.004215239461800496,-1.5279229451110474,0.12656315359673329,-0.03151211055804062,0.03151211055804062,False,False
eye_asymmetry_std,3,-0.5,0.0,-0.5s to 0.0s,0.12838107148831437,0.13753400671661306,-0.009152935228298686,-3.8178112884907143,0.00013544989310073925,-0.07873910906149205,0.07873910906149205,True,True
