feature,bin_idx,time_start,time_end,time_label,invest_mean,keep_mean,difference,t_statistic,p_value,cohens_d,abs_cohens_d,significant,significant_bonferroni
screen_x_std,3,-0.5,0.0,-0.5s to 0.0s,0.07110325247049332,0.06933530420064926,0.0017679482698440552,0.3045307695865631,0.7607504725456238,0.013510230928659439,0.013510230928659439,False,False
screen_y_mean,0,-2.0,-1.5,-2.0s to -1.5s,0.469502717256546,0.4619419574737549,0.007560759782791138,1.3087718486785889,0.1907396763563156,0.05806247144937515,0.05806247144937515,False,False
screen_y_mean,1,-1.5,-1.0,-1.5s to -1.0s,0.46688008308410645,0.46373501420021057,0.003145068883895874,0.5402424335479736,0.5890808701515198,0.02396736666560173,0.02396736666560173,False,False
screen_y_mean,2,-1.0,-0.5,-1.0s to -0.5s,0.46369603276252747,0.46554872393608093,-0.0018526911735534668,-0.31079068779945374,0.7559872269630432,-0.013787947595119476,0.013787947595119476,False,False
screen_y_mean,3,-0.5,0.0,-0.5s to 0.0s,0.46643325686454773,0.4576056897640228,0.008827567100524902,1.446214199066162,0.14825057983398438,0.06415998190641403,0.06415998190641403,False,False
screen_y_std,0,-2.0,-1.5,-2.0s to -1.5s,0.051465731114149094,0.05583534762263298,-0.004369616508483887,-0.8036155104637146,0.4217000901699066,-0.03565166890621185,0.03565166890621185,False,False
screen_y_std,1,-1.5,-1.0,-1.5s to -1.0s,0.059159714728593826,0.055166129022836685,0.003993585705757141,0.690406322479248,0.490006685256958,0.030629247426986694,0.030629247426986694,False,False
screen_y_std,2,-1.0,-0.5,-1.0s to -0.5s,0.0617293082177639,0.05495226010680199,0.006777048110961914,1.1459367275238037,0.2519380748271942,0.05083843693137169,0.05083843693137169,False,False
screen_y_std,3,-0.5,0.0,-0.5s to 0.0s,0.058652449399232864,0.05802822858095169,0.0006242208182811737,0.10591914504766464,0.9156555533409119,0.004699006676673889,0.004699006676673889,False,False
gaze_velocity_mean,0,-2.0,-1.5,-2.0s to -1.5s,2.082768974154962,2.10916983838296,-0.02640086422799781,-0.10404623401556289,0.9171415442980275,-0.004615916577320338,0.004615916577320338,False,False
gaze_velocity_mean,1,-1.5,-1.0,-1.5s to -1.0s,2.267167569659662,1.8851147344755579,0.38205283518410393,1.540172376590213,0.12365308909422935,0.06832834722273791,0.06832834722273791,False,False
gaze_velocity_mean,2,-1.0,-0.5,-1.0s to -0.5s,2.4040069249783143,1.90264252457844,0.5013644003998743,1.9621694758418664,0.04986070728110334,0.08704986486772488,0.08704986486772488,True,False
gaze_velocity_mean,3,-0.5,0.0,-0.5s to 0.0s,2.347996160661553,2.1604833598664537,0.18751280079509947,0.6820774106057549,0.49525728010262077,0.03025974420333085,0.03025974420333085,False,False
gaze_velocity_std,0,-2.0,-1.5,-2.0s to -1.5s,5.288942655996031,5.514422271305511,-0.2254796153094798,-0.3913940098499918,0.6955415338675733,-0.017363839406818172,0.017363839406818172,False,False
gaze_velocity_std,1,-1.5,-1.0,-1.5s to -1.0s,5.85477576092776,5.232890408334426,0.6218853525933339,1.0709106475189376,0.2843196739278819,0.04750997724696243,0.04750997724696243,False,False
gaze_velocity_std,2,-1.0,-0.5,-1.0s to -0.5s,6.1263340990655735,5.229917943518017,0.8964161555475565,1.51365506469269,0.13024793466035395,0.0671519307889106,0.0671519307889106,False,False
gaze_velocity_std,3,-0.5,0.0,-0.5s to 0.0s,5.885508150462065,5.393530814992302,0.4919773354697625,0.8270847044798114,0.40827309728564126,0.03669286096107435,0.03669286096107435,False,False
gaze_velocity_max,0,-2.0,-1.5,-2.0s to -1.5s,20.870550239527084,22.20195230910635,-1.3314020695792657,-0.6126753089263007,0.5401503838394213,-0.02718078306000733,0.02718078306000733,False,False
gaze_velocity_max,1,-1.5,-1.0,-1.5s to -1.0s,23.088056201194895,22.223717734419285,0.8643384667756102,0.38758625311477696,0.6983573742630083,0.017194911741124363,0.017194911741124363,False,False
gaze_velocity_max,2,-1.0,-0.5,-1.0s to -0.5s,24.12644988190864,21.637586860685264,2.488863021223377,1.1008591340823646,0.27107081206898714,0.04883861462535231,0.04883861462535231,False,False
gaze_velocity_max,3,-0.5,0.0,-0.5s to 0.0s,23.151203897084535,21.10844746200572,2.0427564350788145,0.9272636779081834,0.35388495064447156,0.041137210038406535,0.041137210038406535,False,False
