subject_id,full_model_accuracy,n_trials_x,invest_rate,behavior_accuracy,subject_invest_rate,rt_mean,rt_cv,rt_choice_diff,running_invest_rate_std,recent_invest_rate_std,choice_consistency,ambiguity_sensitivity,n_trials_y
0920_1600_539136F,0.78125,128,0.625,0.7734375,0.625,2.4377776085937626,0.3530804156078248,-0.35581903624943134,0.04634370656571023,0.18846010383973208,0.6483439041578576,0.7906976744186046,128
0920_1600_9M4VCHG,0.7734375,128,0.5859375,0.7421875,0.5859375,2.3729778335937226,0.3577126492054064,-0.6452073207797788,0.062218287573689426,0.21988262895505295,0.7114508671513776,0.8842494714587739,128
0920_1600_U9TEJGM,0.7304347826086957,115,0.5217391304347826,0.6869565217391305,0.5217391304347826,2.719437813043497,0.27279247025609704,-0.10097703181833806,0.08561525472621838,0.20515818408815012,0.4014502307185234,0.5886618325642716,115
0922_1000_539136F,0.7235772357723578,123,0.8130081300813008,0.7398373983739838,0.8130081300813008,1.9094734349593667,0.40423331946957725,-0.5773720857823477,0.0997173097720944,0.1881727518912513,0.6189922480620156,0.40348837209302324,123
0922_1000_9M4VCHG,0.7890625,128,0.890625,0.828125,0.890625,2.7336782242189415,0.2847097702945933,-0.6541882996239772,0.04755792587703507,0.15604415574864408,0.7806253115385277,0.0884855360181509,128
0922_1000_U9TEJGM,0.75,100,0.71,0.67,0.71,3.0859516850000275,0.22242869182285283,-0.3765382435650335,0.09779259648996613,0.1999604337967266,0.40453356582388844,0.3648648648648649,100
0923_1000_539136F,0.9615384615384616,130,0.9538461538461539,0.9461538461538461,0.9538461538461539,1.46393576846153,0.3307919517270017,-0.6735594752689544,0.11131168840282828,0.1257337834368965,0.9069767441860465,0.13953488372093026,130
0923_1000_9M4VCHG,0.9083969465648855,131,0.9389312977099237,0.9007633587786259,0.9389312977099237,2.0202650297709943,0.2753113687769172,-0.46333827489820667,0.06428925792197485,0.12857683441738735,0.8787878787878789,0.13636363636363635,131
0923_1000_U9TEJGM,0.7666666666666667,120,0.8,0.6583333333333333,0.8,3.001241803333331,0.20949238135297618,-0.2194702041662424,0.09085015658296028,0.21195204520784205,0.6049707602339182,0.14912280701754388,120
0923_1600_539136F,0.7355371900826446,121,0.743801652892562,0.6776859504132231,0.743801652892562,1.8328493090910734,0.3300511282850846,-0.5805734315419437,0.09249934317325362,0.21394990960507174,0.490097977902856,0.19512195121951226,121
0923_1600_U9TEJGM,0.7166666666666667,120,0.6166666666666667,0.6333333333333333,0.6166666666666667,2.355238811666853,0.2902585036277359,-0.02556176839031954,0.0664557409156015,0.1910947298258007,0.4090354090354091,0.4981684981684981,120
0924_1000_539136F,0.6850393700787402,127,0.7086614173228346,0.5433070866141733,0.7086614173228346,1.4267653456701637,0.418041613580782,0.2981757597014547,0.05541406504092407,0.1659436259872338,0.4189737910668143,0.1428571428571429,127
0924_1000_9M4VCHG,0.968503937007874,127,0.984251968503937,0.9763779527559056,0.984251968503937,1.6190937330718767,0.26105323611464787,-0.9782860972050693,0.0444804217715803,0.06716164206025245,0.9689922480620154,0.046511627906976716,127
0924_1000_U9TEJGM,0.625,120,0.7416666666666667,0.75,0.7416666666666667,2.3572350966667726,0.24880446848105817,0.04127925610779881,0.06527535969099663,0.1703183065687397,0.5311355311355311,0.4871794871794871,120
0924_1600_539136F,0.8983050847457628,59,0.8813559322033898,0.847457627118644,0.8813559322033898,1.3593930915262948,0.2903273957462067,-0.45747182692474997,0.07032000933741399,0.17116850106508302,0.7404295051353875,0.19887955182072825,59
0924_1600_9M4VCHG,0.765625,128,0.4453125,0.7109375,0.4453125,1.846672154688008,0.30782600626780793,-0.34046661541866907,0.06082929681309674,0.24842044609723923,0.7777777777777778,1.0,128
0924_1600_U9TEJGM,0.6696428571428571,112,0.625,0.5625,0.625,1.9839790598220393,0.26826965347266946,-0.06426234619028115,0.07422566604188767,0.19115836156906452,0.3230013550135501,0.20325203252032514,112
0927_0930_539136F,0.7054263565891473,129,0.6821705426356589,0.689922480620155,0.6821705426356589,2.1034878542639546,0.24858554531921792,-0.24004171533311203,0.11470816784577707,0.24685303996902003,0.49471458773784355,0.5909090909090908,129
0927_0930_U9TEJGM,0.6565656565656566,99,0.37373737373737376,0.696969696969697,0.37373737373737376,3.2053014050488304,0.2557361085744563,-0.09427004785656257,0.09704495445463278,0.22057989285444768,0.24223416965352448,0.2060931899641577,99
0928_1600_539136F,0.6442307692307693,104,0.25,0.8173076923076923,0.25,2.408100762499089,0.327608910674903,0.026646552564880466,0.08421187590520807,0.20568606850053162,0.6235209235209235,0.49242424242424243,104
0928_1600_9M4VCHG,0.7543859649122807,114,0.6140350877192983,0.7719298245614035,0.6140350877192983,2.8258689149132756,0.2859857940284188,-0.30685403850209303,0.08750908429705068,0.24944006538551725,0.46607336081020295,0.6585695006747638,114
0928_1600_U9TEJGM,0.8421052631578947,76,0.8157894736842105,0.8026315789473685,0.8157894736842105,2.703712823687391,0.3591555925562217,-0.972837787088273,0.043656240738674384,0.1544964467124847,0.6543589743589744,0.52,76
0930_1700_539136F,0.9894736842105263,95,1.0,1.0,1.0,1.5378232263151164,0.25753049706236425,,0.05129891760425771,0.05129891760425771,1.0,0.0,95
