subject_id,overall_acc,amb_high,amb_low,amb_medium,rt_fast,rt_slow,mean_across_amb,std_across_amb,range_across_amb,mean_across_rt,std_across_rt,device,date,time
0826_1000_9M4VCHG,0.5748031496062992,0.6744186046511628,0.5,0.4523809523809524,0.3709677419354839,0.7076923076923077,0.5422665190107051,0.11689749239559603,0.22203765227021038,0.5393300248138958,0.23810022383874568,9M4VCHG,0826,1000
0826_1300_539136F,0.6136363636363636,0.7045454545454546,0.5227272727272727,0.6590909090909091,0.6495726495726496,0.4,0.6287878787878788,0.09462118179391514,0.18181818181818188,0.5247863247863248,0.17647451291151442,539136F,0826,1300
0826_1300_9M4VCHG,0.7024793388429752,0.725,0.75,0.5853658536585366,0.5675675675675675,0.7261904761904762,0.686788617886179,0.08871968681009834,0.16463414634146345,0.6468790218790219,0.11216333433879276,9M4VCHG,0826,1300
0826_1300_U9TEJGM,0.5128205128205128,0.5357142857142857,0.6666666666666666,0.217391304347826,0.75,0.4848484848484848,0.4732574189095928,0.23105785629356068,0.44927536231884063,0.6174242424242424,0.187490434405524,U9TEJGM,0826,1300
0827_1000_539136F,0.7109375,0.4186046511627907,0.8292682926829268,0.8181818181818182,0.75,0.6666666666666666,0.6886849206758452,0.23396205133396966,0.41066364152013607,0.7083333333333333,0.05892556509887899,539136F,0827,1000
0827_1000_9M4VCHG,0.7251908396946565,0.5909090909090909,0.9318181818181818,0.6744186046511628,0.693069306930693,0.7,0.7323819591261452,0.1776923321716782,0.34090909090909083,0.6965346534653465,0.0049007400676295415,9M4VCHG,0827,1000
0827_1000_U9TEJGM,0.6967213114754098,0.275,0.902439024390244,0.8536585365853658,1.0,0.7166666666666667,0.6770325203252033,0.34902363035602146,0.627439024390244,0.8583333333333334,0.20034692133618848,U9TEJGM,0827,1000
0828_1300_9M4VCHG,0.3716814159292035,0.7631578947368421,0.2702702702702703,0.2894736842105263,0.2537313432835821,0.5434782608695652,0.44096728307254623,0.2791904107597538,0.49288762446657186,0.39860480207657367,0.20488201025294836,9M4VCHG,0828,1300
0828_1300_U9TEJGM,0.7837837837837838,0.4761904761904761,0.8928571428571429,0.88,1.0,0.8,0.7496825396825396,0.23693830025023907,0.4166666666666668,0.9,0.14142135623730948,U9TEJGM,0828,1300
0830_1300_539136F,0.7380952380952381,0.6190476190476191,0.951219512195122,0.6744186046511628,0.9117647058823528,0.7282608695652174,0.7482285786313012,0.17796200674163734,0.33217189314750295,0.820012787723785,0.12975680703359269,539136F,0830,1300
0830_1300_9M4VCHG,0.8854961832061069,0.8604651162790697,1.0,0.9545454545454546,0.8571428571428571,0.8723404255319149,0.9383368569415081,0.07116554588400469,0.13953488372093026,0.8647416413373861,0.010746303665449111,9M4VCHG,0830,1300
0830_1300_U9TEJGM,0.6976744186046512,0.6976744186046512,0.9767441860465116,0.4418604651162791,0.8043478260869565,0.5903614457831325,0.7054263565891472,0.26752610739127747,0.5348837209302325,0.6973546359350445,0.15131122059439742,U9TEJGM,0830,1300
